,latitude,longitude
357,37.4542683,127.0428811
358,37.7469513,127.0938529
359,37.5863683,127.0254738
360,37.5485929,127.0194898
361,37.5632448,127.0871413
362,37.4641711,127.141442
363,37.6469743,127.0256814
364,37.575873,127.000533
365,37.5907362,127.1486154
366,37.471972,126.9669821
367,37.630715,126.931032
368,37.6245869,126.9160804
369,37.5658847,127.1738099
370,37.6386311,127.0260514
371,37.5000384,126.8828494
372,37.5559833,126.9345037
373,37.5981476,126.9622153
374,37.6337259,127.0139522
375,37.4788932,126.8637382
376,37.4667819,127.1009142
377,37.5669761,126.8116149
378,37.4034777,126.9739252
379,37.5594697,126.9637436
380,37.611277,126.9641104
381,37.482125,127.124748
382,37.5516621,126.9192022
383,37.380887,127.1341758
384,37.5782989,126.9298773
385,37.5990618,127.1427562
386,37.6619831,127.0313834
387,37.5818136,126.981251
388,37.4987042,126.995407
389,37.5101665,126.8423061
390,37.4668169,126.9300505
391,37.5679608,127.0024044
392,37.5110196,126.9053948
393,37.5452618,127.0792516
394,37.7392277,127.096144
395,37.5663789,127.0779156
396,37.5219304,126.8781721
397,37.7453417,127.099157
398,37.6441835,126.7896244
399,37.4865099,126.8384206
400,37.569605,127.070183
401,37.5368442,127.0003213
402,37.5545361,126.9224697
403,37.5198771,126.8708457
404,37.5192881,126.7845512
405,37.5999841,127.0737535
406,37.57822,126.797978
407,37.693257,126.7419886
408,37.5538754,126.8675138
409,37.6340788,127.068804
410,37.4744546,127.1333813
411,37.595615,127.072125
412,37.5153283,126.7764898
413,37.4889343,127.0162095
414,37.5548981,126.9573351
415,37.5635916,126.9541934
416,37.5608492,126.9815255
417,37.4782546,127.1212593
418,37.6261436,126.9131285
419,37.5854415,126.876567
420,37.5721234,126.9262762
421,37.59476,126.9638602
422,37.4980789,127.1407036
423,37.4637339,126.8711625
424,37.4744402,127.1067201
425,37.4108967,126.9110941
426,37.4844518,126.8689044
427,37.4656951,126.9880882
428,37.548424,127.0164272
429,37.5486244,127.0196539
430,37.4626887,126.9052341
431,37.5104187,127.0728158
432,37.505447,127.051217
433,37.590627,126.905601
434,37.4873791,126.9123158
435,37.5896344,127.009282
436,37.5140403,126.8997458
437,37.5808142,126.8890895
438,37.5548395,126.9220782
439,37.5388068,126.9624982
440,37.5916996,127.0677039
441,37.4834885,127.0847497
442,37.7186271,127.0471955
443,37.4845275,126.9140379
444,37.6165664,127.0900173
445,37.5016271,126.9486225
446,37.613897,127.0904185
447,37.4795024,126.882073
448,37.4827274,127.0531952
449,37.4778342,126.9819882
450,37.5186715,126.897552
451,37.8326634,126.8210647
452,37.7164765,126.9716012
453,37.5439827,127.0652401
454,37.4741455,126.9213944
455,37.449164,127.0554633
456,37.5589483,127.0132161
457,37.4753427,126.9168479
458,37.5794684,126.9697392
459,37.6862927,126.7773394
460,37.4158472,126.8593955
461,37.61351,127.006451
462,37.5566172,126.8550855
463,37.4798144,126.9984452
464,37.5224802,126.8873567
465,37.626895,127.0708401
466,37.4895413,126.8650938
467,37.455815,127.0098543
468,37.58182,126.798335
469,37.5524729,127.0249325
470,37.5408918,126.9972013
471,37.6950378,126.72433
472,37.5837546,126.9093224
473,37.5684799,127.0728405
474,37.6317369,127.0364126
475,37.6743398,126.8052755
476,37.5854637,127.0202535
477,37.5652135,127.0809934
478,37.4733332,126.9388598
479,37.4889759,127.04132
480,37.5297942,126.8572148
481,37.3475289,126.943
482,37.551135,127.0678257
483,37.4829398,126.9141698
484,37.5018326,127.1287989
485,37.5817228,126.896467
486,37.5045504,126.953431
487,37.7035324,126.902116
488,37.508667,127.0617005
489,37.501518,127.1086248
490,37.5118179,126.9173629
491,37.4782532,126.9895569
492,37.6434913,127.0227668
493,37.591971,127.0167018
494,37.5606234,126.9681135
495,37.6785015,126.793209
496,37.5711271,126.9764644
497,37.4988209,126.8404367
498,37.5966164,127.0141174
499,37.5758267,127.0238433
500,37.5917691,126.9062472
501,37.630942,127.073443
502,37.4743445,126.8522117
503,37.4768019,126.8743863
504,37.4847552,127.014396
505,37.5016992,126.8590429
506,37.3724671,126.9635249
507,37.5501678,127.0546962
508,37.5912801,127.1462271
509,37.5995793,126.9065058
510,37.4856462,126.8760349
511,37.5751529,127.0721655
512,37.485227,126.8752549
513,37.6112753,127.0000838
514,37.5029619,126.9254812
515,37.5587705,126.9173994
516,37.5396254,126.9572103
517,37.4364724,126.8817692
518,37.467392,126.920348
519,37.5412679,126.9619135
520,37.5416209,126.996235
521,37.5527406,126.8464573
522,37.6947236,126.7645576
523,37.4986738,126.9045757
524,37.6001017,127.0621282
525,37.5326305,127.0067505
526,37.4819419,126.9974908
527,37.623129,126.8858474
528,37.4665936,126.8950252
529,37.601044,127.0337882
530,37.4996898,127.2336734
531,37.658205,127.040517
532,37.4821833,126.8973975
533,37.6211844,127.0330531
534,37.7280027,126.7520089
535,37.4978176,126.9300612
536,37.5189474,127.0258423
537,37.5174859,126.9853714
538,37.5888116,127.0100292
539,37.6130627,127.0168877
