,apt,zibun,new_zibun,new_apt,road,new_road,latitude,longitude,company,home_cnt,home_size,room_cnt,bath_cnt,bigo
120,신공덕2차삼성래미안(208동),마포구 160,마포구 신공덕동 159,신공덕삼성래미안2차,만리재로 74,만리재로 74,37.546527,126.958059,삼성물산(주)주택부문,458,84.73,3,2,None
121,신공덕2차삼성래미안(208동),마포구 160,마포구 신공덕동 159,신공덕삼성래미안2차,만리재로 74,만리재로 74,37.546527,126.958059,삼성물산(주)주택부문,458,114.5,4,2,None
122,돈의문센트레빌(215),서대문구 261-1,서대문구 냉천동 261,돈의문센트레빌,독립문로14길 33,독립문로14길 33,37.566343,126.961383,동부건설(주),561,59.98,3,2,None
123,돈의문센트레빌(215),서대문구 261-1,서대문구 냉천동 261,돈의문센트레빌,독립문로14길 33,독립문로14길 33,37.566343,126.961383,동부건설(주),561,84.99,3,2,None
124,돈의문센트레빌(215),서대문구 261-1,서대문구 냉천동 261,돈의문센트레빌,독립문로14길 33,독립문로14길 33,37.566343,126.961383,동부건설(주),561,84.99,3,2,None
125,돈의문센트레빌(215),서대문구 261-1,서대문구 냉천동 261,돈의문센트레빌,독립문로14길 33,독립문로14길 33,37.566343,126.961383,동부건설(주),561,114.98,4,2,None
126,돈의문센트레빌(215),서대문구 261-1,서대문구 냉천동 261,돈의문센트레빌,독립문로14길 33,독립문로14길 33,37.566343,126.961383,동부건설(주),561,114.98,4,2,None
127,덕운포레스트힐,서대문구 103-1,서대문구 연희동 103-1,덕운벨포레빌,증가로 54,증가로 54,37.57273,126.928974,태복건설(주),14,135.9,4,2,None
128,독립문극동(201-0),서대문구 201,None,천연동주민센터,성산로 695,None,0,0,None,0,0,0,0,None
129,유진맨션,서대문구 48-84,None,서울홍제초등학교,홍은중앙로 13,None,0,0,None,0,0,0,0,아파트없음
130,유진맨션,서대문구 48-84,None,서울홍제초등학교,홍은중앙로 13,None,0,0,None,0,0,0,0,아파트없음
131,유진맨션,서대문구 48-84,None,서울홍제초등학교,홍은중앙로 13,None,0,0,None,0,0,0,0,아파트없음
132,유진맨션,서대문구 48-84,None,서울홍제초등학교,홍은중앙로 13,None,0,0,None,0,0,0,0,아파트없음
133,홍제원현대(459-1),서대문구 459-1,서대문구 홍제동 459,홍제원현대(홍제원힐스테이트),통일로34길 43,통일로34길 43,37.58764,126.949787,현대건설(주),939,59.93,3,1,None
